asset_id,name,type,source_url,license,license_file,commercial_use_allowed,modified,ai_generated,notes
core-shapes,Procedural rectangles polygons and draw calls,visual,local procedural,Project-owned,,yes,no,no,Generated by Godot scripts for home hub platforms checkpoints spikes moving platforms UI icons and character/enemy placeholders; no third-party source.
future-art-pack,TBD commercial-safe environment art,visual,TBD,TBD,TBD,TBD,TBD,TBD,Fill before importing any free or purchased asset.
future-sfx-pack,TBD commercial-safe sound effects,audio,TBD,TBD,TBD,TBD,TBD,TBD,Fill before importing any free or purchased asset.
future-font-ui,TBD CJK-capable UI font,font,TBD,TBD,TBD,TBD,TBD,TBD,Default candidate is Noto Sans SC or another commercial-safe Chinese font.
future-tileset-ruins,TBD ruin tileset,visual,TBD,TBD,TBD,TBD,TBD,TBD,Needs platforms brittle floors doors spikes moving platforms and shop pieces.
future-enemy-pack,TBD enemy sprites,visual,TBD,TBD,TBD,TBD,TBD,TBD,Needs patrol flyer shield crawler and boss animations.
generated-audio-tones,Temporary generated UI/SFX tones,audio,local procedural,Project-owned,,yes,no,no,Runtime AudioStreamGenerator tones; replace before final Steam polish if desired.
future-1-0-tilesets,TBD 1.0 four-region tilesets,visual,TBD,TBD,TBD,TBD,TBD,TBD,Required before claiming final art for ruins waterworks clocktower and core regions.
future-1-0-music,TBD 1.0 music pack,audio,TBD,TBD,TBD,TBD,TBD,TBD,Required loops for home ruins waterworks clocktower core and boss encounters.
future-1-0-ui-icons,TBD 1.0 UI icon pack,visual,TBD,TBD,TBD,TBD,TBD,TBD,Required icons for expanded shop equipment four skills HUD settings and prompts.
kenney-abstract-platformer,Kenney Abstract Platformer,visual,https://opengameart.org/content/abstract-platformer,CC0,assets/vendor/kenney_abstract_platformer/License.txt,yes,no,no,Downloaded and extracted for platforms backgrounds players enemies items and tiles.
kenney-game-icons,Kenney Game Icons,visual,https://opengameart.org/content/game-icons,CC0,assets/vendor/kenney_game_icons/license.txt,yes,no,no,Downloaded and extracted for UI icons and controls.
kenney-interface-sounds,Kenney Interface Sounds,audio,https://opengameart.org/content/kenney-interface-sounds,CC0,assets/vendor/kenney_interface_sounds/License.txt,yes,no,no,Downloaded and extracted for UI click confirmation back and menu sounds.
